DrugBank ID,Name,Type,UniProt ID,UniProt Name
DB00709,Lamivudine,SmallMoleculeDrug,P30085,UMP-CMP kinase
DB00709,Lamivudine,SmallMoleculeDrug,P00558,Phosphoglycerate kinase 1
DB00709,Lamivudine,SmallMoleculeDrug,P15531,Nucleoside diphosphate kinase A
DB00709,Lamivudine,SmallMoleculeDrug,P22392,Nucleoside diphosphate kinase B
DB00709,Lamivudine,SmallMoleculeDrug,P49585,Choline-phosphate cytidylyltransferase A
DB00709,Lamivudine,SmallMoleculeDrug,Q99447,Ethanolamine-phosphate cytidylyltransferase
DB00709,Lamivudine,SmallMoleculeDrug,Q8TCD5,"5'(3')-deoxyribonucleotidase, cytosolic type"
DB00711,Diethylcarbamazine,SmallMoleculeDrug,P06276,Cholinesterase
DB00712,Flurbiprofen,SmallMoleculeDrug,P16662,UDP-glucuronosyltransferase 2B7
DB00712,Flurbiprofen,SmallMoleculeDrug,P22309,UDP-glucuronosyltransferase 1-1
DB00712,Flurbiprofen,SmallMoleculeDrug,P35503,UDP-glucuronosyltransferase 1-3
DB00712,Flurbiprofen,SmallMoleculeDrug,O60656,UDP-glucuronosyltransferase 1-9
DB00712,Flurbiprofen,SmallMoleculeDrug,P06133,UDP-glucuronosyltransferase 2B4
DB00712,Flurbiprofen,SmallMoleculeDrug,P11712,Cytochrome P450 2C9
DB00714,Apomorphine,SmallMoleculeDrug,P21964,Catechol O-methyltransferase
DB00714,Apomorphine,SmallMoleculeDrug,P50225,Sulfotransferase 1A1
DB00714,Apomorphine,SmallMoleculeDrug,P50226,Sulfotransferase 1A2
DB00714,Apomorphine,SmallMoleculeDrug,P0DMM9,Sulfotransferase 1A3
DB00714,Apomorphine,SmallMoleculeDrug,P49888,Estrogen sulfotransferase
DB00714,Apomorphine,SmallMoleculeDrug,O43704,Sulfotransferase family cytosolic 1B member 1
DB00714,Apomorphine,SmallMoleculeDrug,P20813,Cytochrome P450 2B6
DB00714,Apomorphine,SmallMoleculeDrug,P10632,Cytochrome P450 2C8
DB00714,Apomorphine,SmallMoleculeDrug,P08684,Cytochrome P450 3A4
DB00714,Apomorphine,SmallMoleculeDrug,P20815,Cytochrome P450 3A5
DB00714,Apomorphine,SmallMoleculeDrug,P22309,UDP-glucuronosyltransferase 1-1
DB00714,Apomorphine,SmallMoleculeDrug,Q9HAW8,UDP-glucuronosyltransferase 1-10
DB00714,Apomorphine,SmallMoleculeDrug,P35503,UDP-glucuronosyltransferase 1-3
DB00714,Apomorphine,SmallMoleculeDrug,P22310,UDP-glucuronosyltransferase 1-4
DB00714,Apomorphine,SmallMoleculeDrug,P19224,UDP-glucuronosyltransferase 1-6
DB00714,Apomorphine,SmallMoleculeDrug,Q9HAW7,UDP-glucuronosyltransferase 1-7
DB00714,Apomorphine,SmallMoleculeDrug,Q9HAW9,UDP-glucuronosyltransferase 1-8
DB00714,Apomorphine,SmallMoleculeDrug,O60656,UDP-glucuronosyltransferase 1-9
DB00714,Apomorphine,SmallMoleculeDrug,P54855,UDP-glucuronosyltransferase 2B15
DB00714,Apomorphine,SmallMoleculeDrug,P06133,UDP-glucuronosyltransferase 2B4
DB00714,Apomorphine,SmallMoleculeDrug,P16662,UDP-glucuronosyltransferase 2B7
DB00715,Paroxetine,SmallMoleculeDrug,P20813,Cytochrome P450 2B6
DB00715,Paroxetine,SmallMoleculeDrug,P05177,Cytochrome P450 1A2
DB00715,Paroxetine,SmallMoleculeDrug,P08684,Cytochrome P450 3A4
DB00715,Paroxetine,SmallMoleculeDrug,P33261,Cytochrome P450 2C19
DB00715,Paroxetine,SmallMoleculeDrug,P10635,Cytochrome P450 2D6
DB00715,Paroxetine,SmallMoleculeDrug,P11712,Cytochrome P450 2C9
DB00717,Norethisterone,SmallMoleculeDrug,P08684,Cytochrome P450 3A4
DB00717,Norethisterone,SmallMoleculeDrug,P17516,Aldo-keto reductase family 1 member C4
DB00717,Norethisterone,SmallMoleculeDrug,P26439,3 beta-hydroxysteroid dehydrogenase/Delta 5-->4-isomerase type 2
DB00717,Norethisterone,SmallMoleculeDrug,P18405,3-oxo-5-alpha-steroid 4-dehydrogenase 1
DB00717,Norethisterone,SmallMoleculeDrug,P31213,3-oxo-5-alpha-steroid 4-dehydrogenase 2
DB00717,Norethisterone,SmallMoleculeDrug,Q9H8P0,Polyprenol reductase
DB00717,Norethisterone,SmallMoleculeDrug,P51857,3-oxo-5-beta-steroid 4-dehydrogenase
DB00717,Norethisterone,SmallMoleculeDrug,P33261,Cytochrome P450 2C19
DB00717,Norethisterone,SmallMoleculeDrug,P05177,Cytochrome P450 1A2
DB00717,Norethisterone,SmallMoleculeDrug,P11509,Cytochrome P450 2A6
DB00718,Adefovir dipivoxil,SmallMoleculeDrug,P54819,"Adenylate kinase 2, mitochondrial"
DB00718,Adefovir dipivoxil,SmallMoleculeDrug,P27144,"Adenylate kinase 4, mitochondrial"
DB00718,Adefovir dipivoxil,SmallMoleculeDrug,P15531,Nucleoside diphosphate kinase A
DB00718,Adefovir dipivoxil,SmallMoleculeDrug,P22392,Nucleoside diphosphate kinase B
DB00719,Azatadine,SmallMoleculeDrug,P08684,Cytochrome P450 3A4
DB00720,Clodronic acid,SmallMoleculeDrug,P35354,Prostaglandin G/H synthase 2
DB00721,Procaine,SmallMoleculeDrug,P06276,Cholinesterase
DB00724,Imiquimod,SmallMoleculeDrug,P08684,Cytochrome P450 3A4
DB00726,Trimipramine,SmallMoleculeDrug,P11712,Cytochrome P450 2C9
DB00726,Trimipramine,SmallMoleculeDrug,P10635,Cytochrome P450 2D6
DB00726,Trimipramine,SmallMoleculeDrug,P33261,Cytochrome P450 2C19
DB00727,Nitroglycerin,SmallMoleculeDrug,P05091,"Aldehyde dehydrogenase, mitochondrial"
DB00730,Thiabendazole,SmallMoleculeDrug,P05177,Cytochrome P450 1A2
DB00730,Thiabendazole,SmallMoleculeDrug,P04798,Cytochrome P450 1A1
DB00731,Nateglinide,SmallMoleculeDrug,P11712,Cytochrome P450 2C9
DB00731,Nateglinide,SmallMoleculeDrug,P08684,Cytochrome P450 3A4
DB00731,Nateglinide,SmallMoleculeDrug,P20815,Cytochrome P450 3A5
DB00731,Nateglinide,SmallMoleculeDrug,P24462,Cytochrome P450 3A7
DB00731,Nateglinide,SmallMoleculeDrug,P23219,Prostaglandin G/H synthase 1
DB00731,Nateglinide,SmallMoleculeDrug,O60656,UDP-glucuronosyltransferase 1-9
DB00731,Nateglinide,SmallMoleculeDrug,P10635,Cytochrome P450 2D6
DB00734,Risperidone,SmallMoleculeDrug,P10635,Cytochrome P450 2D6
DB00734,Risperidone,SmallMoleculeDrug,P08684,Cytochrome P450 3A4
DB00736,Esomeprazole,SmallMoleculeDrug,P33261,Cytochrome P450 2C19
DB00736,Esomeprazole,SmallMoleculeDrug,P08684,Cytochrome P450 3A4
DB00737,Meclizine,SmallMoleculeDrug,P10635,Cytochrome P450 2D6
DB00738,Pentamidine,SmallMoleculeDrug,P33261,Cytochrome P450 2C19
DB00738,Pentamidine,SmallMoleculeDrug,P04798,Cytochrome P450 1A1
DB00738,Pentamidine,SmallMoleculeDrug,P10635,Cytochrome P450 2D6
DB00738,Pentamidine,SmallMoleculeDrug,P20815,Cytochrome P450 3A5
DB00738,Pentamidine,SmallMoleculeDrug,Q02928,Cytochrome P450 4A11
DB00740,Riluzole,SmallMoleculeDrug,P04798,Cytochrome P450 1A1
DB00740,Riluzole,SmallMoleculeDrug,P05177,Cytochrome P450 1A2
DB00741,Hydrocortisone,SmallMoleculeDrug,P08684,Cytochrome P450 3A4
DB00741,Hydrocortisone,SmallMoleculeDrug,P20815,Cytochrome P450 3A5
DB00741,Hydrocortisone,SmallMoleculeDrug,P24462,Cytochrome P450 3A7
DB00741,Hydrocortisone,SmallMoleculeDrug,P15538,"Cytochrome P450 11B1, mitochondrial"
DB00741,Hydrocortisone,SmallMoleculeDrug,P19099,"Cytochrome P450 11B2, mitochondrial"
DB00741,Hydrocortisone,SmallMoleculeDrug,P10632,Cytochrome P450 2C8
DB00741,Hydrocortisone,SmallMoleculeDrug,P51857,3-oxo-5-beta-steroid 4-dehydrogenase
DB00741,Hydrocortisone,SmallMoleculeDrug,P31213,3-oxo-5-alpha-steroid 4-dehydrogenase 2
DB00741,Hydrocortisone,SmallMoleculeDrug,P80365,Corticosteroid 11-beta-dehydrogenase isozyme 2
DB00741,Hydrocortisone,SmallMoleculeDrug,P28845,Corticosteroid 11-beta-dehydrogenase isozyme 1
DB00741,Hydrocortisone,SmallMoleculeDrug,P11509,Cytochrome P450 2A6
DB00741,Hydrocortisone,SmallMoleculeDrug,Q16678,Cytochrome P450 1B1
DB00741,Hydrocortisone,SmallMoleculeDrug,P20813,Cytochrome P450 2B6
DB00741,Hydrocortisone,SmallMoleculeDrug,P11712,Cytochrome P450 2C9
DB00741,Hydrocortisone,SmallMoleculeDrug,P33261,Cytochrome P450 2C19
DB00742,Mannitol,SmallMoleculeDrug,O08355,Mannitol dehydrogenase
DB00744,Zileuton,SmallMoleculeDrug,P23219,Prostaglandin G/H synthase 1
DB00744,Zileuton,SmallMoleculeDrug,O60656,UDP-glucuronosyltransferase 1-9
DB00744,Zileuton,SmallMoleculeDrug,P11712,Cytochrome P450 2C9
DB00744,Zileuton,SmallMoleculeDrug,P05177,Cytochrome P450 1A2
DB00744,Zileuton,SmallMoleculeDrug,P08684,Cytochrome P450 3A4
DB00745,Modafinil,SmallMoleculeDrug,P33261,Cytochrome P450 2C19
DB00745,Modafinil,SmallMoleculeDrug,P08684,Cytochrome P450 3A4
DB00745,Modafinil,SmallMoleculeDrug,P20815,Cytochrome P450 3A5
DB00745,Modafinil,SmallMoleculeDrug,P05177,Cytochrome P450 1A2
DB00745,Modafinil,SmallMoleculeDrug,P20813,Cytochrome P450 2B6
DB00745,Modafinil,SmallMoleculeDrug,P11712,Cytochrome P450 2C9
DB00745,Modafinil,SmallMoleculeDrug,P10635,Cytochrome P450 2D6
DB00746,Deferoxamine,SmallMoleculeDrug,P47989,Xanthine dehydrogenase/oxidase
DB00747,Scopolamine,SmallMoleculeDrug,P08684,Cytochrome P450 3A4
DB00749,Etodolac,SmallMoleculeDrug,P35503,UDP-glucuronosyltransferase 1-3
DB00749,Etodolac,SmallMoleculeDrug,Q9HAW8,UDP-glucuronosyltransferase 1-10
DB00749,Etodolac,SmallMoleculeDrug,P16662,UDP-glucuronosyltransferase 2B7
DB00749,Etodolac,SmallMoleculeDrug,P11712,Cytochrome P450 2C9
DB00749,Etodolac,SmallMoleculeDrug,O60656,UDP-glucuronosyltransferase 1-9
DB00751,Epinastine,SmallMoleculeDrug,P20813,Cytochrome P450 2B6
DB00751,Epinastine,SmallMoleculeDrug,P10635,Cytochrome P450 2D6
DB00751,Epinastine,SmallMoleculeDrug,P08684,Cytochrome P450 3A4
DB00752,Tranylcypromine,SmallMoleculeDrug,P10635,Cytochrome P450 2D6
DB00752,Tranylcypromine,SmallMoleculeDrug,P11712,Cytochrome P450 2C9
DB00752,Tranylcypromine,SmallMoleculeDrug,P33261,Cytochrome P450 2C19
DB00752,Tranylcypromine,SmallMoleculeDrug,P05177,Cytochrome P450 1A2
DB00752,Tranylcypromine,SmallMoleculeDrug,P11509,Cytochrome P450 2A6
DB00752,Tranylcypromine,SmallMoleculeDrug,P08684,Cytochrome P450 3A4
DB00753,Isoflurane,SmallMoleculeDrug,P20813,Cytochrome P450 2B6
DB00753,Isoflurane,SmallMoleculeDrug,P03886,NADH-ubiquinone oxidoreductase chain 1
DB00753,Isoflurane,SmallMoleculeDrug,P05181,Cytochrome P450 2E1
DB00755,Tretinoin,SmallMoleculeDrug,P24462,Cytochrome P450 3A7
DB00755,Tretinoin,SmallMoleculeDrug,P20813,Cytochrome P450 2B6
DB00755,Tretinoin,SmallMoleculeDrug,P10632,Cytochrome P450 2C8
DB00755,Tretinoin,SmallMoleculeDrug,P11712,Cytochrome P450 2C9
DB00755,Tretinoin,SmallMoleculeDrug,P08684,Cytochrome P450 3A4
DB00755,Tretinoin,SmallMoleculeDrug,P20815,Cytochrome P450 3A5
DB00755,Tretinoin,SmallMoleculeDrug,P11509,Cytochrome P450 2A6
DB00755,Tretinoin,SmallMoleculeDrug,P33260,Cytochrome P450 2C18
DB00755,Tretinoin,SmallMoleculeDrug,P04798,Cytochrome P450 1A1
DB00755,Tretinoin,SmallMoleculeDrug,Q02928,Cytochrome P450 4A11
DB00757,Dolasetron,SmallMoleculeDrug,P11712,Cytochrome P450 2C9
DB00757,Dolasetron,SmallMoleculeDrug,P08684,Cytochrome P450 3A4
DB00757,Dolasetron,SmallMoleculeDrug,P10635,Cytochrome P450 2D6
DB00758,Clopidogrel,SmallMoleculeDrug,P11712,Cytochrome P450 2C9
DB00758,Clopidogrel,SmallMoleculeDrug,P05177,Cytochrome P450 1A2
DB00758,Clopidogrel,SmallMoleculeDrug,P10632,Cytochrome P450 2C8
DB00758,Clopidogrel,SmallMoleculeDrug,P23141,Liver carboxylesterase 1
DB00758,Clopidogrel,SmallMoleculeDrug,P08684,Cytochrome P450 3A4
DB00758,Clopidogrel,SmallMoleculeDrug,P20813,Cytochrome P450 2B6
DB00758,Clopidogrel,SmallMoleculeDrug,P20815,Cytochrome P450 3A5
DB00758,Clopidogrel,SmallMoleculeDrug,P33261,Cytochrome P450 2C19
DB00759,Tetracycline,SmallMoleculeDrug,P08684,Cytochrome P450 3A4
DB00760,Meropenem,SmallMoleculeDrug,P14489,Beta-lactamase OXA-10
DB00760,Meropenem,SmallMoleculeDrug,P16444,Dipeptidase 1
DB00762,Irinotecan,SmallMoleculeDrug,P08684,Cytochrome P450 3A4
DB00762,Irinotecan,SmallMoleculeDrug,P20815,Cytochrome P450 3A5
DB00762,Irinotecan,SmallMoleculeDrug,P20813,Cytochrome P450 2B6
DB00762,Irinotecan,SmallMoleculeDrug,P24462,Cytochrome P450 3A7
DB00762,Irinotecan,SmallMoleculeDrug,P22309,UDP-glucuronosyltransferase 1-1
DB00762,Irinotecan,SmallMoleculeDrug,O60656,UDP-glucuronosyltransferase 1-9
DB00762,Irinotecan,SmallMoleculeDrug,P23141,Liver carboxylesterase 1
DB00762,Irinotecan,SmallMoleculeDrug,O00748,Cocaine esterase
DB00762,Irinotecan,SmallMoleculeDrug,P06276,Cholinesterase
DB00763,Methimazole,SmallMoleculeDrug,P05177,Cytochrome P450 1A2
DB00763,Methimazole,SmallMoleculeDrug,P11509,Cytochrome P450 2A6
DB00763,Methimazole,SmallMoleculeDrug,P20813,Cytochrome P450 2B6
DB00763,Methimazole,SmallMoleculeDrug,P33261,Cytochrome P450 2C19
DB00763,Methimazole,SmallMoleculeDrug,P11712,Cytochrome P450 2C9
DB00763,Methimazole,SmallMoleculeDrug,P10635,Cytochrome P450 2D6
DB00763,Methimazole,SmallMoleculeDrug,P05181,Cytochrome P450 2E1
DB00763,Methimazole,SmallMoleculeDrug,P08684,Cytochrome P450 3A4
DB00763,Methimazole,SmallMoleculeDrug,P31513,Dimethylaniline monooxygenase [N-oxide-forming] 3
DB00764,Mometasone,SmallMoleculeDrug,P10632,Cytochrome P450 2C8
DB00764,Mometasone,SmallMoleculeDrug,P08684,Cytochrome P450 3A4
DB00764,Mometasone,SmallMoleculeDrug,P20815,Cytochrome P450 3A5
DB00768,Olopatadine,SmallMoleculeDrug,P08684,Cytochrome P450 3A4
DB00768,Olopatadine,SmallMoleculeDrug,Q01740,Dimethylaniline monooxygenase [N-oxide-forming] 1
DB00768,Olopatadine,SmallMoleculeDrug,P31513,Dimethylaniline monooxygenase [N-oxide-forming] 3
DB00769,Hydrocortamate,SmallMoleculeDrug,P08684,Cytochrome P450 3A4
DB00772,Malathion,SmallMoleculeDrug,P05177,Cytochrome P450 1A2
DB00772,Malathion,SmallMoleculeDrug,P20813,Cytochrome P450 2B6
DB00773,Etoposide,SmallMoleculeDrug,P05177,Cytochrome P450 1A2
DB00773,Etoposide,SmallMoleculeDrug,P05181,Cytochrome P450 2E1
DB00773,Etoposide,SmallMoleculeDrug,P20815,Cytochrome P450 3A5
DB00773,Etoposide,SmallMoleculeDrug,P22309,UDP-glucuronosyltransferase 1-1
DB00773,Etoposide,SmallMoleculeDrug,P30711,Glutathione S-transferase theta-1
DB00773,Etoposide,SmallMoleculeDrug,P09211,Glutathione S-transferase P
DB00773,Etoposide,SmallMoleculeDrug,P35354,Prostaglandin G/H synthase 2
DB00773,Etoposide,SmallMoleculeDrug,P23219,Prostaglandin G/H synthase 1
DB00773,Etoposide,SmallMoleculeDrug,P08684,Cytochrome P450 3A4
DB00776,Oxcarbazepine,SmallMoleculeDrug,Q04828,Aldo-keto reductase family 1 member C1
DB00776,Oxcarbazepine,SmallMoleculeDrug,P52895,Aldo-keto reductase family 1 member C2
DB00776,Oxcarbazepine,SmallMoleculeDrug,P42330,Aldo-keto reductase family 1 member C3
DB00776,Oxcarbazepine,SmallMoleculeDrug,P17516,Aldo-keto reductase family 1 member C4
DB00776,Oxcarbazepine,SmallMoleculeDrug,P16152,Carbonyl reductase [NADPH] 1
DB00776,Oxcarbazepine,SmallMoleculeDrug,O75828,Carbonyl reductase [NADPH] 3
DB00776,Oxcarbazepine,SmallMoleculeDrug,P33261,Cytochrome P450 2C19
DB00776,Oxcarbazepine,SmallMoleculeDrug,P08684,Cytochrome P450 3A4
DB00776,Oxcarbazepine,SmallMoleculeDrug,P20815,Cytochrome P450 3A5
DB00778,Roxithromycin,SmallMoleculeDrug,P20813,Cytochrome P450 2B6
DB00778,Roxithromycin,SmallMoleculeDrug,P08684,Cytochrome P450 3A4
DB00779,Nalidixic acid,SmallMoleculeDrug,P48775,"Tryptophan 2,3-dioxygenase"
DB00779,Nalidixic acid,SmallMoleculeDrug,P05177,Cytochrome P450 1A2
DB00780,Phenelzine,SmallMoleculeDrug,P33261,Cytochrome P450 2C19
DB00780,Phenelzine,SmallMoleculeDrug,P10632,Cytochrome P450 2C8
DB00780,Phenelzine,SmallMoleculeDrug,P08684,Cytochrome P450 3A4
DB00780,Phenelzine,SmallMoleculeDrug,P20815,Cytochrome P450 3A5
DB00780,Phenelzine,SmallMoleculeDrug,P24462,Cytochrome P450 3A7
DB00780,Phenelzine,SmallMoleculeDrug,P10635,Cytochrome P450 2D6
DB00780,Phenelzine,SmallMoleculeDrug,P08684,Cytochrome P450 3A4
DB00780,Phenelzine,SmallMoleculeDrug,Q9HB55,Cytochrome P450 3A43
DB00780,Phenelzine,SmallMoleculeDrug,P20815,Cytochrome P450 3A5
DB00780,Phenelzine,SmallMoleculeDrug,P24462,Cytochrome P450 3A7
DB00780,Phenelzine,SmallMoleculeDrug,P21397,Amine oxidase [flavin-containing] A
DB00780,Phenelzine,SmallMoleculeDrug,P27338,Amine oxidase [flavin-containing] B
DB00780,Phenelzine,SmallMoleculeDrug,P05181,Cytochrome P450 2E1
DB00783,Estradiol,SmallMoleculeDrug,P08684,Cytochrome P450 3A4
DB00783,Estradiol,SmallMoleculeDrug,P05177,Cytochrome P450 1A2
DB00783,Estradiol,SmallMoleculeDrug,P20815,Cytochrome P450 3A5
DB00783,Estradiol,SmallMoleculeDrug,P24462,Cytochrome P450 3A7
DB00783,Estradiol,SmallMoleculeDrug,P22309,UDP-glucuronosyltransferase 1-1
DB00783,Estradiol,SmallMoleculeDrug,P04798,Cytochrome P450 1A1
DB00783,Estradiol,SmallMoleculeDrug,Q16678,Cytochrome P450 1B1
DB00783,Estradiol,SmallMoleculeDrug,P33261,Cytochrome P450 2C19
DB00783,Estradiol,SmallMoleculeDrug,P10632,Cytochrome P450 2C8
DB00783,Estradiol,SmallMoleculeDrug,P11712,Cytochrome P450 2C9
DB00783,Estradiol,SmallMoleculeDrug,P54855,UDP-glucuronosyltransferase 2B15
DB00783,Estradiol,SmallMoleculeDrug,P21964,Catechol O-methyltransferase
DB00783,Estradiol,SmallMoleculeDrug,P22309,UDP-glucuronosyltransferase 1-1
DB00783,Estradiol,SmallMoleculeDrug,Q9HAW8,UDP-glucuronosyltransferase 1-10
DB00783,Estradiol,SmallMoleculeDrug,P35503,UDP-glucuronosyltransferase 1-3
DB00783,Estradiol,SmallMoleculeDrug,P22310,UDP-glucuronosyltransferase 1-4
DB00783,Estradiol,SmallMoleculeDrug,P19224,UDP-glucuronosyltransferase 1-6
DB00783,Estradiol,SmallMoleculeDrug,Q9HAW7,UDP-glucuronosyltransferase 1-7
DB00783,Estradiol,SmallMoleculeDrug,Q9HAW9,UDP-glucuronosyltransferase 1-8
DB00783,Estradiol,SmallMoleculeDrug,O60656,UDP-glucuronosyltransferase 1-9
DB00783,Estradiol,SmallMoleculeDrug,P54855,UDP-glucuronosyltransferase 2B15
DB00783,Estradiol,SmallMoleculeDrug,P06133,UDP-glucuronosyltransferase 2B4
DB00783,Estradiol,SmallMoleculeDrug,P16662,UDP-glucuronosyltransferase 2B7
DB00783,Estradiol,SmallMoleculeDrug,P11511,Aromatase
DB00784,Mefenamic acid,SmallMoleculeDrug,P11712,Cytochrome P450 2C9
DB00784,Mefenamic acid,SmallMoleculeDrug,P05177,Cytochrome P450 1A2
DB00784,Mefenamic acid,SmallMoleculeDrug,O60656,UDP-glucuronosyltransferase 1-9
DB00784,Mefenamic acid,SmallMoleculeDrug,P16662,UDP-glucuronosyltransferase 2B7
DB00784,Mefenamic acid,SmallMoleculeDrug,P10632,Cytochrome P450 2C8
DB00787,Acyclovir,SmallMoleculeDrug,Q9QNF7,Thymidine kinase
DB00787,Acyclovir,SmallMoleculeDrug,Q16774,Guanylate kinase
DB00787,Acyclovir,SmallMoleculeDrug,P15531,Nucleoside diphosphate kinase A
DB00787,Acyclovir,SmallMoleculeDrug,P22392,Nucleoside diphosphate kinase B
DB00787,Acyclovir,SmallMoleculeDrug,P30613,Pyruvate kinase PKLR
DB00787,Acyclovir,SmallMoleculeDrug,P14618,Pyruvate kinase PKM
DB00787,Acyclovir,SmallMoleculeDrug,P12277,Creatine kinase B-type
DB00787,Acyclovir,SmallMoleculeDrug,P06732,Creatine kinase M-type
DB00787,Acyclovir,SmallMoleculeDrug,P17540,"Creatine kinase S-type, mitochondrial"
DB00787,Acyclovir,SmallMoleculeDrug,P12532,"Creatine kinase U-type, mitochondrial"
DB00787,Acyclovir,SmallMoleculeDrug,P00558,Phosphoglycerate kinase 1
DB00787,Acyclovir,SmallMoleculeDrug,P07205,Phosphoglycerate kinase 2
DB00787,Acyclovir,SmallMoleculeDrug,Q9P2R7,"Succinyl-CoA ligase [ADP-forming] subunit beta, mitochondrial"
DB00787,Acyclovir,SmallMoleculeDrug,P53597,"Succinyl-CoA ligase [ADP/GDP-forming] subunit alpha, mitochondrial"
DB00787,Acyclovir,SmallMoleculeDrug,Q96I99,"Succinyl-CoA ligase [GDP-forming] subunit beta, mitochondrial"
DB00787,Acyclovir,SmallMoleculeDrug,Q16822,"Phosphoenolpyruvate carboxykinase [GTP], mitochondrial"
DB00787,Acyclovir,SmallMoleculeDrug,P35558,"Phosphoenolpyruvate carboxykinase, cytosolic [GTP]"
DB00787,Acyclovir,SmallMoleculeDrug,Q8N142,Adenylosuccinate synthetase isozyme 1
DB00787,Acyclovir,SmallMoleculeDrug,P30520,Adenylosuccinate synthetase isozyme 2
DB00788,Naproxen,SmallMoleculeDrug,P10632,Cytochrome P450 2C8
DB00788,Naproxen,SmallMoleculeDrug,P16662,UDP-glucuronosyltransferase 2B7
DB00788,Naproxen,SmallMoleculeDrug,P35503,UDP-glucuronosyltransferase 1-3
DB00788,Naproxen,SmallMoleculeDrug,P19224,UDP-glucuronosyltransferase 1-6
DB00788,Naproxen,SmallMoleculeDrug,Q9HAW7,UDP-glucuronosyltransferase 1-7
DB00788,Naproxen,SmallMoleculeDrug,Q9HAW9,UDP-glucuronosyltransferase 1-8
DB00788,Naproxen,SmallMoleculeDrug,O60656,UDP-glucuronosyltransferase 1-9
DB00788,Naproxen,SmallMoleculeDrug,Q9HAW8,UDP-glucuronosyltransferase 1-10
DB00788,Naproxen,SmallMoleculeDrug,P11712,Cytochrome P450 2C9
DB00788,Naproxen,SmallMoleculeDrug,P05177,Cytochrome P450 1A2
DB00790,Perindopril,SmallMoleculeDrug,P06276,Cholinesterase
DB00792,Tripelennamine,SmallMoleculeDrug,P10635,Cytochrome P450 2D6
DB00794,Primidone,SmallMoleculeDrug,P11712,Cytochrome P450 2C9
DB00794,Primidone,SmallMoleculeDrug,P33261,Cytochrome P450 2C19
DB00794,Primidone,SmallMoleculeDrug,P05181,Cytochrome P450 2E1
DB00794,Primidone,SmallMoleculeDrug,P08684,Cytochrome P450 3A4
DB00794,Primidone,SmallMoleculeDrug,P05177,Cytochrome P450 1A2
DB00794,Primidone,SmallMoleculeDrug,P22309,UDP-glucuronosyltransferase 1-1
DB00794,Primidone,SmallMoleculeDrug,Q9HAW8,UDP-glucuronosyltransferase 1-10
DB00794,Primidone,SmallMoleculeDrug,P35503,UDP-glucuronosyltransferase 1-3
DB00794,Primidone,SmallMoleculeDrug,P22310,UDP-glucuronosyltransferase 1-4
DB00794,Primidone,SmallMoleculeDrug,P19224,UDP-glucuronosyltransferase 1-6
DB00794,Primidone,SmallMoleculeDrug,Q9HAW7,UDP-glucuronosyltransferase 1-7
DB00794,Primidone,SmallMoleculeDrug,Q9HAW9,UDP-glucuronosyltransferase 1-8
DB00794,Primidone,SmallMoleculeDrug,O60656,UDP-glucuronosyltransferase 1-9
DB00794,Primidone,SmallMoleculeDrug,P54855,UDP-glucuronosyltransferase 2B15
DB00794,Primidone,SmallMoleculeDrug,P06133,UDP-glucuronosyltransferase 2B4
DB00794,Primidone,SmallMoleculeDrug,P16662,UDP-glucuronosyltransferase 2B7
DB00796,Candesartan cilexetil,SmallMoleculeDrug,P11712,Cytochrome P450 2C9
DB00796,Candesartan cilexetil,SmallMoleculeDrug,P10632,Cytochrome P450 2C8
DB00796,Candesartan cilexetil,SmallMoleculeDrug,P35503,UDP-glucuronosyltransferase 1-3
DB00796,Candesartan cilexetil,SmallMoleculeDrug,P23219,Prostaglandin G/H synthase 1
DB00799,Tazarotene,SmallMoleculeDrug,P10632,Cytochrome P450 2C8
DB00802,Alfentanil,SmallMoleculeDrug,P08684,Cytochrome P450 3A4
DB00802,Alfentanil,SmallMoleculeDrug,P20815,Cytochrome P450 3A5
DB00802,Alfentanil,SmallMoleculeDrug,P24462,Cytochrome P450 3A7
DB00805,Minaprine,SmallMoleculeDrug,P10635,Cytochrome P450 2D6
DB00806,Pentoxifylline,SmallMoleculeDrug,P05177,Cytochrome P450 1A2
DB00808,Indapamide,SmallMoleculeDrug,P08684,Cytochrome P450 3A4
DB00808,Indapamide,SmallMoleculeDrug,P07099,Epoxide hydrolase 1
DB00810,Biperiden,SmallMoleculeDrug,P10635,Cytochrome P450 2D6
DB00811,Ribavirin,SmallMoleculeDrug,P49902,Cytosolic purine 5'-nucleotidase
DB00811,Ribavirin,SmallMoleculeDrug,P55263,Adenosine kinase
DB00812,Phenylbutazone,SmallMoleculeDrug,P08684,Cytochrome P450 3A4
DB00812,Phenylbutazone,SmallMoleculeDrug,P11712,Cytochrome P450 2C9
DB00813,Fentanyl,SmallMoleculeDrug,P08684,Cytochrome P450 3A4
DB00813,Fentanyl,SmallMoleculeDrug,P24462,Cytochrome P450 3A7
DB00814,Meloxicam,SmallMoleculeDrug,P52209,"6-phosphogluconate dehydrogenase, decarboxylating"
DB00814,Meloxicam,SmallMoleculeDrug,P10632,Cytochrome P450 2C8
DB00814,Meloxicam,SmallMoleculeDrug,P11712,Cytochrome P450 2C9
DB00814,Meloxicam,SmallMoleculeDrug,P08684,Cytochrome P450 3A4
DB00817,Rosoxacin,SmallMoleculeDrug,P05177,Cytochrome P450 1A2
DB00818,Propofol,SmallMoleculeDrug,P11712,Cytochrome P450 2C9
